招聘标题,公司名称,工作地点,薪资,链接,工作内容
会计,宁夏仁和致利汽车销售服务有限公司,银川,4.5-6千/月,http://jobs.51job.com/yinchuan/99239705.html?s=01&t=0,岗位职责1、专业人员职位，在上级的领导和监督下定期完成量化的工作要求，并能独立处理和解决所负责的任务；2、协助财务预算、审核、监督工作，按照公司及政府有关部门要求及时编制各种财务报表并报送相关部门；3、负责员工报销费用的审核、凭证的编制和登帐；4、对已审核的原始凭证及时填制记帐；5、准备、分析、核对税务相关问题；6、审计合同、制作帐目表格。任职资格1、财务、会计专业中专以上学历，持有会计证；2、有财务会计工作经历者优先；3、熟悉会计报表的处理，会计法规和税法，熟练使用财务软件；4、良好的学习能力、独立工作能力和财务分析能力；5、工作细致，责任感强，良好的沟通能力、团队精神。
公关销售部经理,上海得丘礼享谷企业管理有限公司,上海,1-1.5万/月,http://jobs.51job.com/shanghai/98905233.html?s=01&t=0
渠道销售总监\副总,北京北斗星座科技发展有限责任公司,北京-朝阳区,40-50万/年,http://jobs.51job.com/beijing-cyq/98204220.html?s=01&t=0
业务助理,上海高航知识产权服务有限公司,上海-浦东新区,4.5-6千/月,http://jobs.51job.com/shanghai-pdxq/97122333.html?s=01&t=0,【岗位职责】：1、负责分公司业务流程上的综合管理工作：合同审核；业务流程材料的处理；业务流程的监控；后期发票的开取工作等。2、负责业务员业务销量的统计汇总工作；3、负责协调配合公司资源部，财务部，流程部各部门之间工作的开展以及对接；4、负责协助进行关于市场业务方面政策的制定；5、完成领导交代的其他工作任务；【任职要求】：1.重点本科及以上学历，硕士优先；2.熟练应用word excell PPT 等办公软件，能独立完成重要会议的PPT制作;3.责任心、事业心强，做事主动积极，能承受工作压力，团队协作能力佳；4.有销售经验者优先。福利待遇：1、试用期3个月，试用期底薪4500；转正后6000，另设全勤奖，年终奖等。2、工龄补贴，每增加1年工龄，每月增加200元。3、每年相应的节假日休息时间，国家法定带薪休假，工龄超过1年，带薪假5天。4、每年有不定期的旅游，聚会。每月一次集体活动。5、作息时间 8:30―18:00，午休一个半小时，做五休二。6、五险一金按照上海政府规定缴纳。7、婚假、病假、产假等等假期，根据国家及地方规定享用。工作地点：上海市浦东新区祖冲之路2277弄世和商务中心1302~1303
刮灰/打磨工,湖南诚源电器股份有限公司,长沙-浏阳市,3-4.5千/月,http://jobs.51job.com/changsha-lys/82015552.html?s=01&t=0,岗位描述：1、严格遵守喷涂工序操作规程与工艺指导书，按标准执行作业2、严格按班长下达的每日生产任务，按订单生产，按时并保证质量完成任务3、喷涂前首先详细了解该订单产品所规定的颜色，规格型号、性能要求；4、更换粉末颜色时，首先彻底清扫喷粉室，回收系统；5、每次作业完毕后，将剩余的粉末放回指定的位置，不同颜色隔离存放，摆放整齐；6、每次作业完毕后必须把喷枪机进行全面清理，并用干布擦拭干净，按指定位置放回原处；7、对喷涂设备的保养维护进行监督。8、严格遵守“6S”，时刻保持好责任区域内的生产现场环境整洁、干净、安全9、遵守公司规章纪律，完成上级交办的任务任职要求：年龄：30-45岁教育背景：初中以上学历工作经验：2年以上相关工作经验 知识技能：熟悉产品相关的知识；产品喷涂、油漆颜色调配、设备维护的技能技巧个人素质：具备吃苦耐劳的敬业精神，责任心强具有较强的领导能力、判断与决策能力、交际能力、沟通能力、计划与执行能力；有良好的服务精神
活性分析研究员/高级研究员,科济生物医药（上海）有限公司,上海-徐汇区,15-30万/年,http://jobs.51job.com/shanghai-xhq/77384182.html?s=01&t=0,"1.负责带领本组团队为支持公司在研产品（包括免疫细胞治疗产品和单抗药物）的工艺开发和产品放行检测所需的活性分析方法学开发、确认以及方法学验证工作。2.负责带领团队进行工艺开发、稳定性研究以及批放行样品的日常活性分析检测工作。3.从事的技术工作包括但不限于基于FACS的实验技术方法、CAR T阳性率、T细胞表型分析、细胞毒性实验、ADCC、CDC、Cell-based binding assay（FACS法）、 细胞增殖抑制实验等和非细胞水平的实验技术：Binding assay, Blocking assay等分析方法。4.负责协调本小组的日常工作，复核相关实验结果并及时解决实验过程中出现的问题。5.负责及时整理汇总实验结果，汇报给部门负责人。6.负责相关SOP、研究方案和报告以及实验记录的撰写及复核。岗位要求：1.本科及以上学历，本科3年或硕士2年以上相关工作经验。2.具备熟练的细胞培养基本技术，掌握多功能酶标仪和流式细胞仪等相关仪器设备使用。3.能够较为熟练的使用生物学数据处理软件如GraphPad Prism、SoftMax Pro以及FlowJo等进行相关数据的处理。4.熟悉FDA和CFDA有关细胞治疗产品或相关生物制品临床前研究相关的注册法规要求和指导原则等；5.具有较好的团队协调能力、吃苦耐劳，能够认真负责的完成本职工作。6.在大型生物制药公司或者CRO公司工作者优先。7.具有生物药的活性分析方法学验证和IND申报经验者优先。"
医院中药房调剂员,深圳市和顺堂医药有限公司,深圳,3-5千/月,http://jobs.51job.com/shenzhen/65421634.html?s=01&t=0,岗位要求：1、中药学相关专业，大专以上学历，有卫生系统的中药师证；2、热爱本工作，有敬业精神和吃苦耐劳的精神；3、具备良好的语言沟通及良好的执行能力；4、形象较佳，干净利落；5、工作态度好，服从安排；6、工作热情，认真、仔细、乐观积极向上。岗位职责：在医院根据医师处方要求和病家需要，按辩证用药要求，做好中药饮片调配，销售和用药咨询等服务。工作地点：深圳、东莞、广州、惠州
综合工艺科长,国机智骏汽车有限公司,异地招聘,1.8-2.5万/月,http://jobs.51job.com/nanjing/99558714.html?s=01&t=0,1、熟悉掌握整车开发流程和交付物，尤其是生产技术准备流程；2、有2个以上车型开发项目管理经验；3、熟悉PBOM结构、管理办法；4、熟悉汽车制造工艺管理体系；5、熟悉SE分析的流程、交付物；6、对整车制造工艺常识和关键要点熟悉；7、熟悉工艺文件档案管理办法；任职要求：1、本科以上学历，汽车行业类似岗位7年以上；2、组织、沟通、协调、表达能力强。
食品微生物检测工程师,大连中食国实检测技术有限公司,大连,2.5-4千/月,http://jobs.51job.com/dalian/99065805.html?s=01&t=0,"一、任职条件：1、学历和专业要求：具有大学本科及以上学历；生物工程专业毕业；2、工作经历要求：具有食品微生物实验室检测3年以上（含3年）工作经历，应届毕业生免谈；3、熟练掌握菌落总数、大肠菌群、金黄葡萄球菌、沙门氏菌等微生物检测项目，熟悉无菌室、生物安全柜、高压灭菌锅、显微镜等微生物检测相关设施和设备的使用和维护；4、熟悉ISO17025管理体系,熟悉实验室内部及外部质量控制；5、熟练使用电脑及word、Excel等常用办公软件；6、熟悉数理统计者优先。二、工作地点：大连市沙河口区西南路730号三、待遇：提供五险一金，双休，具体薪资面谈。 四、特别说明:仅招聘全职人员,不考虑***, 户籍不限。"
内贸业务员,深圳市添丰伞业有限公司,深圳-龙岗区,0.5-1.3万/月,http://jobs.51job.com/shenzhen-lgq/97163456.html?s=01&t=0,"我们提供――您能享受：1.年终奖金(具体多少，看你创造的业绩)2.假期。（根据国家规定，产假、法定节假日等按正常天数放假。春节假期比国家规定多4天，错开春运高峰。）3.年假。（入职第二年起，额外有两天年假，并且按年递增。让你有足够的时间聚会和陪伴父母）4.生日会。每月统一组织生日派对。5.团建活动，每年数次团体出游。（可惜今年你已经错过了我们的海边游和温泉游，来吧，我们带你飞）6.入职3年、5年、8年有老员工奖励，10年起每年奖励。7.周末双休。每天实际工作时间7小时，中午有2小时吃饭+午休时间。8.餐补。（虽然我们不提供餐食，但是每月有固定餐补。）9.各种节日福利。只要你想的到的节日，我们都一起过10.平台（除了网络平台，我们还有展会，提供各种开发客户的机会）11.如果你有意向，敢挑战，我们提供完善的入职培训课程12.这里上班每天都可以吃到新鲜水果和小零食13.如果你想快乐工作，快乐成长，和我们一起创造奇迹，欢迎你加入我们！您将负责：维护老客户，开发新客户，通过专业服务及谈判拿下订单。制作合同，跟踪订单流程，认真履行合同，协助部门经理完成公司销售计划。我们寻找最棒的你：1.性格开朗，学习能力强2.一年以上销售经验，行业不限，其中有面对面销售经验优先考虑。3.性别不限。4.懂基本电脑、办公软件、网络平台操作5.具备较强的人际沟通能力.认真负责，对工作有激情，有上进心、要性强。热爱销售工作，有强烈的成功欲望和企图心。						"
HR-人力资源实习生（天津）,马上消费金融股份有限公司,天津-和平区,148元/天,http://jobs.51job.com/tianjin-hpq/99559768.html?s=01&t=0,（一）工作内容：1、协助部门主管完成当月招聘任务，包括候选人邀约、面试接待以及后期入职跟进等；2、根据公司制度管理员工员工入职/离职/异动、转正等相关手续办理工作；3、考勤管理，考勤数据的统计和分析，休假管理及核算；4、负责员工档案、信息的管理，确保数据准确、档案健全；5、根据公司及各部门需求编制各类人事统计报表，及时更新维护员工人事信息系统。（二）任职要求：1、专科或本科在读，可全职工作者优先，一周出勤4-5天；2、良好的沟通能力、较强的抗压能力，踏实、细心，乐观、正向；3、乐于做流程性标准化的工作，有良好的工作习惯和较高的效率，4、善于思考，善于分析总结，能改进和创新。（三）岗位薪资及工作地点：1、薪资：18.5元/小时，148元/天（工作时间为8小时）。2、工作地点：天津市和平区劝业场街南京路258号巨贝大厦附属楼3层     地铁路线：可乘地铁1号线至“鞍山道”下车后A口出，步行100米即达
设备维修员,上海凸版有限公司 Shanghai Toppa...,上海-松江区,4.5-6千/月,http://jobs.51job.com/shanghai-sjq/95691513.html?s=01&t=0,"工作职责：1. 随时解决设备发生的故障，保证机器运转正常；2. 不断降低停机时间，不断提高设备能力及状况；3. 加强自主维护的能力，以提高维修效率；4. 有弱电维修能力，能适应通用设备点检工作5. 完成上级安排的其他工作。岗位要求:1. 高中或中专以上学历，机电专业；2. 持电工证、高级电工证、钳工证书者优先；3. 三年以上机电设备管理、维修保养经验，有印刷设备维修改造经验更 佳优先；4. 具有良好的执行力，良好的发现和解决问题的能力，较好的团队合作的能力。						"
业务员,湖南湘江电缆有限公司,长沙-天心区,4.5-6千/月,http://jobs.51job.com/changsha-txq/81227711.html?s=01&t=0
项目经理,武汉高迪新技术发展有限公司,武汉-洪山区,0.6-1万/月,http://jobs.51job.com/wuhan-hsq/98889575.html?s=01&t=0,1、大专以上学历，一年以上相关工作经验；2、认真负责，吃苦耐劳，有责任心，沟通能力强，有良好的团队协作精神。3、计算机相关专业，懂计算机网络，有经验者优先。
技术支持工程师,南京翔达制冷设备有限公司,南京-建邺区,4-6千/月,http://jobs.51job.com/nanjing-jyq/94358422.html?s=01&t=0,1、负责多联机空调暖通方案的设计及报价2、协助进行设备选型、工程技术方案和工程预算3、独立完成招投标文件4、熟练运用CAD制图和WORD等办公软件5、有相关机电专业证书的优先选择6、有五险一金，交通补贴，通讯补贴，年终奖金7、学历在大专以上8，有一定的工作经验，最好做过相关的工作
外贸业务员,深圳市海辰友邦科技有限公司,深圳-龙华新区,6-8千/月,http://jobs.51job.com/shenzhen-lhxq/92777667.html?s=01&t=0,一 岗位职责： 1、管理Amazon/阿里巴巴国际站账号，产品推广、发布、上架、信息更新，优化关键词。 2、定期查看产品在平台的销售情况与排名情况，对销售市场调查和分析、制定销售策略，达成销售业绩。 3、利用亚马逊平台进行公司产品的推广和销售，达成销售业绩。 4、负责账号的维护，产品刊登，关键词优化，提高产品购买的转化率。 5、优化店铺页面的各个版块、实施新品推广计划、做好平台的引流工作，提高销售额； 6、每月进行销售统计，完成领导交代的其他相关工作。 二 任职要求： 1、大学本科学历，男女不限，专业不限；优秀应届毕业生亦可。 2、一年以上Amazon销售经验，熟悉Amazon销售平台和流程，熟悉Amazon各种规则及推广工具的使用，知道如何规避跟卖风险， 维护自建listing，能独立操作Amazon帐号； 3、对电子商务外贸有兴趣和激情，有团队精神和服务意识，较强的学习能力、应变能力； 4、工作主动有热情，勤奋好学，灵活细致，认真耐心，具有责任心，能承受一定的工作压力； 三 福利待遇： 1、底薪+高提成+每月考勤考核奖金，公司对于工作表现优秀的员工，有薪资调整的空间或职位晋升的机会； 2、公司关心员工的就餐问题，在公司配备微波炉、冰箱可带饭。 3、公司为员工购买五险， 养老、医疗、工伤、生育、失业险； 4、员工依法享受国家的法定节假日； 5、国家法定节假日，端午节、中秋节、三八***节等酌情给员工发放礼品； 6、定期组织活动和员工聚餐；每天下午有下午茶。冰箱内有零食水果甜点，饮料有咖啡或茶饮。 7、在公司连续服务满一年的员工享受5天的带薪年假；每年固定组织一次国内外旅游。若每一季度若达到老板设置目标也一次旅游机会。 
销售代表（工业触摸显示器线上销售）龙华观澜,深圳市天堃信息技术有限公司,深圳-龙华新区,4-6千/月,http://jobs.51job.com/shenzhen-lhxq/90245663.html?s=01&t=0,
办事处行政经理/主管,上海爱谱华顿电子科技（集团）有限...,泸州,4.5-7千/月,http://jobs.51job.com/luzhou/97936705.html?s=01&t=0
少儿美术老师,上海鱼伯文化传播有限公司,上海-浦东新区,4-8千/月,http://jobs.51job.com/shanghai-pdxq/87537767.html?s=01&t=0,"1.	美术专业或者设计类相关专业毕业，大专以上学历，具有良好的绘画功底。2.	相关工作经验，或者是有教师资格证者优先考虑。3.	踏实肯干积极向上，具有亲和力，善于和学生、家长沟通，有较强的团队意识。4.	热爱教育行业，有责任心、爱心、耐心。5.	学习能力强，能够不断提高自己的专业水平。6.	具有良好的沟通、协调和组织能力。1.	课前完成课程准备，上课能够顺利完成课堂任务。2.	上课期间，能够熟练的运用专业美术知识，根据学生的不同特点授课。使学生在绘画的基本功、创作能力方面不断提高。3.	与家长保持良好的沟通，让家长了解学生的情况。4.	课后做好教学质量的提升工作。						"
区域业务经理,上海爱谱华顿电子科技(集团)有限公...,泸州,3-5千/月,http://jobs.51job.com/luzhou/82581859.html?s=01&t=0
销售代表,南京新联能源技术有限责任公司,南京-江宁区,4.5-6千/月,http://jobs.51job.com/nanjing-jnq/75049233.html?s=01&t=0,1、专科及以上学历，愿意从事销售工作；2、男女不限，有无工作经验不限；3、具有踏实的工作态度、较强沟通协调能力和判断力、良好的逻辑思考能力；4、能熟练使用office等办公软件
.NET 软件工程师（产品）,厦门盈趣科技股份有限公司,厦门,0.8-1.5万/月,http://jobs.51job.com/xiamen/99558717.html?s=01&t=0,"岗位职责：1、参与公司自主研发UMS的架构设计工作； 2、负责项目模块的详细设计和程序设计工作； 3、ERP相关接口开发； 4、现有系统的升级改造和新需求开发及日常技术支持工作。任职要求：1、本科及以上学历，计算机等相关专业；2、2年以上.net开发经验，熟悉 C#，Asp.Net开发语言，有三层架构设计，MVC项目开发经验； 3、熟悉SQL Server，Mysql数据库，熟练编写数据库脚本； 4、熟悉JavaScript,Div+CSS,Ajax等web开发技术,能够熟练使用jQuery框架； 5、熟悉MES、ERP、OA开发，有相关工作经验优先； 6、有信心、有激情、主动积极，有团队协作精神和良好的沟通能。"
